rps cpu_limit req_rate req_latency cpu cpu0 cpu1 cpu2 cpu3 cpu4 cpu5 cpu6 cpu7 cpu8 cpu9 cpu10 cpu11 cpu12 cpu13 cpu14 cpu15 memory_usage 
1 7000m 1.0173930461291445 44.9 3.2000000000000006 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 642.9117595151525
3 7000m 3.0181374047814478 43.07222222222222 9.599999999999998 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 573.1744633535352
5 7000m 5.018479854444771 42.90268456375839 17.299999999999997 1.0 1.1 1.1 1.0 1.1 1.1 1.1 1.1 1.0 1.1 1.1 1.2 1.1 1.1 1.0 1.1 578.4852100740741
7 7000m 7.020594378058782 42.48067632850242 22.1 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.3 1.4 1.4 1.3 1.4 1.3 1.4 578.236815946128
10 7000m 10.021463744936481 41.74539363484087 30.59999999999999 1.9 1.9 2.0 1.9 1.9 1.9 1.9 1.9 1.9 2.0 1.9 1.9 1.9 1.9 1.9 1.9 582.5434634343438
12 7000m 12.024238645895023 40.79634831460674 35.5 2.3 2.1 2.2 2.2 2.2 2.2 2.2 2.3 2.3 2.2 2.2 2.3 2.2 2.2 2.2 2.2 583.9165646174498
15 7000m 15.024784081086771 39.58399098083427 42.70000000000001 2.7 2.7 2.6 2.7 2.8 2.7 2.6 2.6 2.7 2.7 2.6 2.6 2.6 2.7 2.7 2.7 586.6670698523493
18 7000m 18.024818055593357 38.17439703153989 51.50000000000001 3.2 3.2 3.2 3.2 3.3 3.1 3.2 3.2 3.3 3.2 3.3 3.3 3.2 3.2 3.2 3.2 587.53495452349
20 7000m 20.02661114284143 37.08961474036851 56.400000000000006 3.5 3.5 3.5 3.5 3.5 3.4 3.6 3.5 3.6 3.5 3.5 3.6 3.6 3.5 3.5 3.6 587.5073958657716
22 7000m 22.02874565766823 35.79984662576687 60.5 3.8 3.8 3.8 3.8 3.9 3.8 3.7 3.8 3.8 3.7 3.8 3.7 3.7 3.7 3.9 3.8 601.9202577181205
25 7000m 25.029136314971502 34.12115127175368 67.40000000000002 4.2 4.2 4.2 4.2 4.2 4.3 4.2 4.2 4.2 4.2 4.2 4.2 4.2 4.2 4.3 4.2 610.6979169932882
27 7000m 27.03135614924554 33.28313627878033 71.5 4.5 4.5 4.4 4.5 4.5 4.5 4.5 4.5 4.4 4.5 4.5 4.4 4.4 4.5 4.4 4.5 614.4048244832215
30 7000m 30.037890903955944 32.17066369213609 77.79999999999998 4.8 4.9 4.9 4.8 4.8 4.9 4.9 4.8 5.0 4.8 4.9 4.9 4.9 4.9 4.8 4.8 639.6178761879198
32 7000m 32.0394262662227 31.761482254697285 82.20000000000002 5.1 5.2 5.1 5.1 5.1 5.1 5.1 5.1 5.2 5.1 5.2 5.2 5.1 5.2 5.2 5.1 658.3174631946309
35 7000m 35.04245661475812 31.639942390782526 87.9 5.5 5.5 5.5 5.4 5.5 5.5 5.5 5.5 5.5 5.5 5.5 5.5 5.5 5.5 5.5 5.5 659.1811006711408
37 7000m 37.04578456227669 32.22531992687386 91.60000000000001 5.8 5.7 5.7 5.7 5.8 5.7 5.7 5.8 5.7 5.7 5.6 5.7 5.8 5.7 5.8 5.7 674.8391465234898
40 7000m 40.044566402219644 34.48987341772152 97.60000000000001 6.1 6.1 6.1 6.1 6.1 6.2 6.1 6.1 6.0 6.1 6.0 6.0 6.0 6.2 6.2 6.2 676.4553896375842
42 7000m 42.04397473236874 45.55225080385852 98.5 6.2 6.1 6.2 6.1 6.2 6.1 6.2 6.2 6.2 6.2 6.1 6.2 6.1 6.1 6.1 6.2 720.9462241073825
45 7000m 41.42783518710457 3085.1871016122986 98.90000000000002 6.2 6.2 6.2 6.2 6.2 6.1 6.2 6.2 6.2 6.1 6.1 6.2 6.2 6.2 6.2 6.2 1002.0348565465836
1 7500m 1.0172046506790644 45.18333333333333 3.2000000000000006 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 625.3427801342287
3 7500m 3.0181896673228623 43.92696629213483 9.299999999999997 0.6 0.6 0.5 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.5 0.6 0.6 0.6 0.5 557.0574019865774
5 7500m 5.018597060636732 43.17391304347826 14.100000000000003 0.9 0.8 0.9 0.9 0.9 0.8 0.9 0.9 0.9 0.9 0.8 0.9 0.9 0.8 0.9 1.0 554.1466304429532
7 7500m 7.019024914404393 42.64200477326969 20.700000000000003 1.2 1.3 1.3 1.3 1.3 1.3 1.3 1.4 1.3 1.3 1.4 1.3 1.2 1.2 1.3 1.3 572.0739152751675
10 7500m 10.02112898084295 41.366554054054056 28.5 1.8 1.8 1.7 1.8 1.7 1.8 1.7 1.8 1.8 1.8 1.8 1.7 1.8 1.8 1.8 1.9 578.1597228821549
12 7500m 12.01988764529654 40.73018080667594 33.7 2.2 2.1 2.1 2.1 2.1 2.1 2.1 2.1 2.2 2.1 2.1 2.1 2.1 2.1 2.1 2.0 578.9823965637584
15 7500m 15.023054610716668 39.660734149054505 41.10000000000001 2.6 2.6 2.6 2.5 2.6 2.6 2.6 2.5 2.6 2.6 2.5 2.6 2.6 2.6 2.5 2.5 579.5006642684566
18 7500m 18.026781221576172 38.25187265917603 47.599999999999994 3.0 3.0 3.0 2.9 3.0 3.0 3.0 3.0 3.0 2.9 3.0 2.9 2.9 3.0 3.0 3.0 581.0795897986583
20 7500m 20.028895731031067 37.41414141414141 52.4 3.3 3.3 3.3 3.2 3.4 3.2 3.3 3.3 3.3 3.3 3.3 3.3 3.2 3.2 3.3 3.2 580.8344895570465
22 7500m 22.03024887106556 36.02352048558422 57.20000000000001 3.6 3.6 3.6 3.6 3.5 3.6 3.6 3.6 3.6 3.6 3.6 3.6 3.6 3.5 3.5 3.5 580.2531736912757
25 7500m 25.031759030056293 34.34134936539746 63.09999999999999 4.0 4.0 3.9 3.9 3.9 4.0 4.0 3.9 4.0 4.0 3.9 4.0 3.9 3.9 3.9 3.9 579.7673303624164
27 7500m 27.031169840652012 33.373040752351095 66.10000000000002 4.1 4.2 4.2 4.1 4.1 4.1 4.1 4.1 4.2 4.1 4.1 4.1 4.1 4.1 4.2 4.2 581.7452860134227
